; G5 A/B disagreements — mechanical symmetric diff of gold_blocks_A vs gold_blocks_B
; records compared: 200; records with >=1 disagreement: 115; exact-agreement records: 85
; total (record, block) disagreement rows: 146
; per-block disagreement counts: F02=1 F05=10 F06=1 F07=2 F08=35 F09=20 F12=49 F15=4 F16=24
; adjudicated by Fable 5 (claude-fable-5), session H070, 2026-07-03, reading each record in csl-orig/v02/mw/mw.txt @ 392ed6b
sample_id,L,k1,stratum,block,in_A,in_B,adjudicated,adjudication_note
G5-024,214342,SaSaSimbikA,random_residual,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-026,144201.1,bahizpatnIsaMyAjatva,crossref_phw,F16,yes,no,no,[->B] only <info phwparent/phwchild=> machine relation present -> F17 per reviewer rule 3; no textual cross-ref marker (q.v./cf./id./See)
G5-029,257776,sva,continuation,F08,no,yes,yes,[->B] svAH nom. pl. quoted with its own gloss - additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-030,222140,SyAmalikA,hedge_ls,F08,no,yes,yes,[->B] (<s>ikA</s>) feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword
G5-030,222140,SyAmalikA,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-032,114256,paYjikA,random_residual,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-033,73483,cikitu,crossref_phw,F08,no,yes,yes,[->B] ci/kiti is the SV variant form of the headword
G5-034,137874,prasAdIkf,root_verbal,F05,yes,no,no,"[->B] no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3"
G5-035,29313,iBamAcala,hedge_ls,F08,no,yes,yes,[->B] (iBam-Acala) sandhi-resolved full form of the headword - a form display
G5-035,29313,iBamAcala,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-036,202092,vizayEzin,kernel_common,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-038,18415,avaspf,root_verbal,F05,yes,no,no,"[->B] aor./Subj./Imper. labels mark inflected FORMS (F08), not a conjugation class; no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3"
G5-038,18415,avaspf,root_verbal,F08,no,yes,yes,"[->B] -spa/rat, -spar, -spfDi, -spftam: additional <s> span(s) are genuine inflected/conjugated forms of the headword"
G5-039,8384,antyaka,kernel_common,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-040,9618,aparokzaya,hedge_ls,F08,no,yes,yes,[->B] 0yati Nom. present: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-042,231161,sanizyada,correction_edge,F16,no,yes,yes,[->B] 'see sanizyada/ under root syand' explicit see-reference
G5-044,185387,vatU,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-047,18016,avalamba,continuation,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-049,109365,nirIkz,root_verbal,F08,no,yes,yes,[->B] -Ikzate (0ti): additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-050,195332,vijYeya,crossref_phw,F16,yes,no,no,"[->B] inline (-X <lex type=""phw"">) is a sub-headword display, not a cross-reference; the phw graph attr is F17"
G5-051,207822,vESezika,kernel_common,F06,no,yes,yes,[->B] <ab>fr.</ab> vi-Seza is the paper's own listed F06 marker; Pass A's rule omitted fr.
G5-051,207822,vESezika,kernel_common,F08,no,yes,yes,[->B] mf(<s>I</s>)n.: feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword
G5-051,207822,vESezika,kernel_common,F09,yes,no,no,"[->B] (fr. vi-Seza) is an etymology marker (F06), not commentary"
G5-056,236841,samBaj,root_verbal,F08,no,yes,yes,"[->B] -Bajati, 0te: additional <s> span(s) are genuine inflected/conjugated forms of the headword"
G5-059,244647,sidDAntAcAra,botanical_bio,F09,no,yes,yes,[->B] (said to consist in ...) hedged attributed description - editorial commentary
G5-061,9393,apamyakz,root_verbal,F05,yes,no,no,"[->B] Imper. 2 sg. labels an inflected form, not a class; no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3"
G5-061,9393,apamyakz,root_verbal,F08,no,yes,yes,[->B] -myakza Imper.: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-062,110792,nizka,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-063,204858,vfz,root_verbal,F15,yes,no,yes,[->A] <s1>Parjanya/Indra</s1> proper-name markup present; F15's formal marker is <bio>/<s1> - kept consistent with G5-084/138/143 (B's semantic narrowing rejected for marker consistency)
G5-063,204858,vfz,root_verbal,F16,no,yes,yes,[->B] [For cognates See under varzA and 1. vfza] + cf. - textual cross-references
G5-064,59801,kzIrAhva,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-065,255769,sTirapuzpa,botanical_bio,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-068,159137,masfRaya,root_verbal,F08,no,yes,yes,[->B] 0yati Nom. present: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-069,202781,visarga,botanical_bio,F16,no,yes,yes,[->B] 'see under <s>sarga</s>' textual cross-reference
G5-070,165431,muRqitikA,botanical_bio,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-071,201743,vizapucCa,hedge_ls,F08,no,yes,yes,[->B] mf(<s>I</s>)n.: feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword
G5-071,201743,vizapucCa,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-073,210329,vyUhIkf,random_residual,F08,no,yes,yes,[->B] -karoti: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-074,110126,nirhan,root_verbal,F09,yes,no,no,"[->B] <div n=""vp""/> introduces the Caus./Desid./Intens. paradigm section - grammatical structure, not editorial commentary"
G5-076,105848,nAya,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-078,181834,lava,continuation,F08,no,yes,yes,[->B] (<s>am</s>) phw adverb form + lavam api inflected usage phrase
G5-078,181834,lava,continuation,F09,yes,no,no,"[->B] cf./see is a cross-reference marker (F16 per paper SS1), not editorial commentary"
G5-079,96968,doDa,hedge_ls,F09,no,yes,yes,[->B] (for dogDf?) uncertain derivation flagged with a literal ? - editorial commentary
G5-079,96968,doDa,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-084,205678,vedacakzus,continuation,F15,no,yes,yes,"[->B] <s1 n=""Veda"">V0</s1> proper-name marker; Pass A's regex missed the n= attribute form"
G5-087,251171,sUtyA,random_residual,F09,yes,no,no,"[->B] cf./see is a cross-reference marker (F16 per paper SS1), not editorial commentary"
G5-087,251171,sUtyA,random_residual,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-087,251171,sUtyA,random_residual,F16,no,yes,yes,[->B] (cf. 3. <s>sUta</s>) textual cross-reference
G5-089,9481,aparaYj,root_verbal,F05,yes,no,no,"[->B] bare -rajyate form, no class marker at all; no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3"
G5-089,9481,aparaYj,root_verbal,F08,no,yes,yes,[->B] -rajyate: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-090,173911,rajataprasTa,botanical_bio,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-094,113744,paYcapAtra,botanical_bio,F16,no,yes,yes,[->B] (q.v.) after Acamana - listed F16 marker
G5-095,236643,samprahas,random_residual,F09,yes,no,no,"[->B] <div n=""vp""/> introduces the Caus./Desid./Intens. paradigm section - grammatical structure, not editorial commentary"
G5-098,178856,rup,root_verbal,F09,yes,no,no,"[->B] cf. root lup is F16; <div n=""vp""/> introduces the Caus./Desid./Intens. paradigm section - grammatical structure, not editorial commentary"
G5-098,178856,rup,root_verbal,F16,no,yes,yes,[->B] (cf. root <s>lup</s>) textual cross-reference
G5-099,52465,kumudinIpati,crossref_phw,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-100,64245.2,galagaRqa,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-101,19274,avyaTa,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-102,155585,madanotsavA,continuation,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-103,240371,sahArTIBU,root_verbal,F08,no,yes,yes,[->B] -Bavati: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-103,240371,sahArTIBU,root_verbal,F16,yes,no,no,"[->B] (0rTI-BAva <lex type=""phw"">) inline (-X <lex type=""phw"">) is a sub-headword display, not a cross-reference; the phw graph attr is F17"
G5-104,217388,Sili,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-110,126517.1,puruzamAninitva,crossref_phw,F16,yes,no,no,[->B] only <info phwparent/phwchild=> machine relation present -> F17 per reviewer rule 3; no textual cross-ref marker (q.v./cf./id./See)
G5-112,170876,yaSaHpawaha,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-113,120799,pAtra,correction_edge,F08,no,yes,yes,[->B] (ifc. f(A).): feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword
G5-114,8740,anvaBizic,root_verbal,F08,no,yes,yes,[->B] -siYcate: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-116,235936,sampA,continuation,F08,no,yes,yes,[->B] (<s>A</s>) feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword
G5-118,135930,pramI,root_verbal,F07,yes,no,no,"[->B] <lang>Ved.</lang> is a register label on Vedic forms, not IE-cognate content (no <etym>/<gk>)"
G5-118,135930,pramI,root_verbal,F09,yes,no,no,"[->B] 'cf. below' is a cross-pointer; the parenthetical is a form inventory, not editorial prose"
G5-120,29442,izaRya,root_verbal,F08,no,yes,yes,[->B] izaRyati + participle izaRya/t: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-124,19833,aSrumuKa,random_residual,F08,no,yes,yes,[->B] mf(<s>I/</s>)n. (accented): feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword
G5-125,252820,somanandin,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-127,47786,kAntAra,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-129,135961,pramIlA,crossref_phw,F08,no,yes,yes,[->B] (ifc. f(A).): feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword
G5-130,252219,senaya,root_verbal,F08,no,yes,yes,[->B] 0yati Nom. present: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-132,177271,rAma,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-133,51241,kukIla,kernel_common,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-137,83580.5,talpa,continuation,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-138,145873,boDi,botanical_bio,F15,no,yes,yes,[->B] <s1>Buddha</s1> + genuinely encyclopedic content; Pass A's '<s1> without <bot>' rule wrongly excluded records that also carry <bot>
G5-139,133388,pratisad,root_verbal,F08,no,yes,yes,[->B] -sIdati: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-140,6142,anukxp,root_verbal,F05,yes,no,no,"[->B] no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3"
G5-140,6142,anukxp,root_verbal,F09,yes,no,no,"[->B] <div n=""vp""/> introduces the Caus./Desid./Intens. paradigm section - grammatical structure, not editorial commentary"
G5-141,41092,OpavasaTika,botanical_bio,F16,no,yes,yes,[->B] (q.v.) after Upa-vasatha - listed F16 marker
G5-143,216417,SAstravipratizidDa,random_residual,F15,no,yes,yes,"[->B] <s1 n=""Zastra"">S0</s1> proper-name marker; Pass A regex artifact on the n= attribute"
G5-144,264770,hriti,kernel_common,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-146,235004,samIpIkf,root_verbal,F08,no,yes,yes,[->B] -karoti: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-148,51484,kuYjara,kernel_common,F08,no,yes,yes,[->B] (ifc. f(A).): feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword
G5-149,169286,yajYaDara,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-150,183907,lohita,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-155,195887,vidyeSa,crossref_phw,F16,yes,no,no,[->B] '= X' equivalence gloss is not in F16's marker set (q.v./cf./id./see); phwchild attr is F17
G5-156,90648,darSanI,random_residual,F09,yes,no,no,"[->B] the whole entry is a cross-reference (cf. a-, su-) - F16, no commentary"
G5-156,90648,darSanI,random_residual,F16,no,yes,yes,"[->B] entry consists of 'cf. a-, su-' - pure cross-reference"
G5-158,176414,rAjapawwa,random_residual,F09,no,yes,yes,[->B] (said to be brought from ...) hedged report - editorial commentary
G5-159,128399,pfTakpada,crossref_phw,F16,yes,no,no,"[->B] inline (-X <lex type=""phw"">) is a sub-headword display, not a cross-reference; the phw graph attr is F17"
G5-160,232332.1,sapraRayam,crossref_phw,F08,no,yes,yes,[->B] (<s>am</s>) adverbial-form display of the phw headword
G5-160,232332.1,sapraRayam,crossref_phw,F16,yes,no,no,[->B] only <info phwparent/phwchild=> machine relation present -> F17 per reviewer rule 3; no textual cross-ref marker (q.v./cf./id./See)
G5-161,182000,lasaka,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-163,147086,brahmasamBava,continuation,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-166,161289.1,mahokzatA,crossref_phw,F16,yes,no,no,[->B] only <info phwparent/phwchild=> machine relation present -> F17 per reviewer rule 3; no textual cross-ref marker (q.v./cf./id./See)
G5-168,260388,hatASa,kernel_common,F08,no,yes,yes,[->B] mf(<s>A</s>)n.: feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword
G5-169,239779,saSleza,crossref_phw,F16,yes,no,no,"[->B] inline (-X <lex type=""phw"">) is a sub-headword display, not a cross-reference; the phw graph attr is F17"
G5-170,190323,vAjapeyika,crossref_phw,F08,no,yes,yes,[->B] mf(<s>I</s>)n.: feminine-stem <s> display inside <lex> (mf(I/A)n. / ifc. f(A).) is genuine inflectional-form info of the headword
G5-170,190323,vAjapeyika,crossref_phw,F09,yes,no,no,"[->B] cf. Pan. Sch. is a comparative cross-ref (F16), not commentary"
G5-171,43057,kanInaka,continuation,F02,no,yes,yes,[->B] (kanI/naka) re-displays the accented headword; in continuation records the display form structurally follows the initial separator
G5-172,263036.66,himavadgirisaMSraya,crossref_phw,F16,yes,no,no,[->B] only <info phwparent/phwchild=> machine relation present -> F17 per reviewer rule 3; no textual cross-ref marker (q.v./cf./id./See)
G5-173,205212,vfzRi,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-178,86183,tulyapAna,hedge_ls,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-179,163604,mAla,random_residual,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-181,138635,praharaka,continuation,F09,yes,no,no,"[->B] cf./see is a cross-reference marker (F16 per paper SS1), not editorial commentary"
G5-181,138635,praharaka,continuation,F16,no,yes,yes,[->B] (cf. <s>arDa-praharikA</s>) textual cross-reference
G5-183,227365,saMsvf,root_verbal,F09,yes,no,no,"[->B] <div n=""vp""/> introduces the Caus./Desid./Intens. paradigm section - grammatical structure, not editorial commentary"
G5-184,89135,tvAzwrI,botanical_bio,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-185,203075,visramB,crossref_phw,F05,yes,no,no,"[->B] pure See-reference record with no conjugation content; no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3"
G5-186,197638,vipariRam,root_verbal,F05,yes,no,no,"[->B] Pass./Caus. stem labels only, no primary class marker; no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3"
G5-186,197638,vipariRam,root_verbal,F09,yes,no,no,"[->B] <div n=""vp""/> introduces the Caus./Desid./Intens. paradigm section - grammatical structure, not editorial commentary"
G5-188,58231,kruD,root_verbal,F07,yes,no,no,"[->B] <lang>ep.</lang> is a register label (epic), not IE-cognate content (no <etym>/<gk>)"
G5-188,58231,kruD,root_verbal,F09,yes,no,no,"[->B] see-also is F16; the paradigm parentheses are grammar, not commentary"
G5-188,58231,kruD,root_verbal,F16,no,yes,yes,[->B] (see also <s>kruDyamAna</s>) textual see-reference
G5-189,56759,koSa,continuation,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-190,11818,aBipraRam,root_verbal,F05,yes,no,no,"[->B] no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3"
G5-191,97534,drapsa,continuation,F12,no,yes,yes,"[->B] <ls n=""RV."">iv, 13, 2</ls> is a genuine RV source citation (work name in the n= attribute); Pass A's content-only check missed it"
G5-192,31955,utsava,continuation,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
G5-194,13628,aByupAkf,root_verbal,F05,yes,no,no,"[->B] no print conjugation-class marker (cl./P./A.); Pass A fired on <info verb=>, which is F17 machine annotation per reviewer rule 3"
G5-194,13628,aByupAkf,root_verbal,F08,yes,no,no,"[->B] extra <s> spans are the segmented headword itself (aBy-upA- root kf), not additional inflected forms"
G5-194,13628,aByupAkf,root_verbal,F16,no,yes,yes,[->B] 'See upA- root 1. kf' explicit see-reference
G5-196,150854,Binnavarcas,kernel_common,F08,no,yes,yes,[->B] (also <s>0ska</s>) variant stem: additional <s> span(s) are genuine inflected/conjugated forms of the headword
G5-200,87429,trapAraRqA,random_residual,F12,no,yes,no,"[->A] record's only citation is <ls>L.</ls> hedging the entry -> F13, not F12 (spec reviewer rule 4: 'other <ls> references remain F12')"
