L_number,headword,resolved_to,confidence,record_gloss,verdict
4323,adhimukta,Buddh.,same-cluster,"| confident, ib.",
102,aṃsabhārika,Suśr.,crossed-headword,"aMsa-BArika, mf(I)n. or aMse-BArika, mf(I)n. | bearing a burden on the shoulder, ib.",
796,agadya,Car.,crossed-headword,"a-gadya | Nom. P. agadyati, to have good health, (g. kaRqv-Adi, q.v.); to heal, ib.",
1022,agnimanthanīya,ĀśvŚr.,crossed-headword,"agni—manTanIya | mfn. relating to such friction, ib.",
3150,atirājñī,Pāṇ.,crossed-headword,"ati-rAjYI | f. (a woman) superior to a king, ib.",
3837,adyaśvīnā,Pāṇ.,crossed-headword,"a-dya—SvInA | f. a female near delivery, ib.",
8437,andhambhāvuka,Pāṇ.,crossed-headword,"anDa—m-BAvuka | (anDam-) mfn. id., ib.; Kauś.",
8707,anyathā,AitBr.,crossed-headword,anya/-TA | &c. See ib.,
8708,anyadā,AitBr.,crossed-headword,anya-dA | &c. See ib.,
8732,anvagbhūya,Pāṇ.,crossed-headword,"anvag-BUya | ind. becoming friendly disposed, ib.",
8864,anvārohaṇīya,TS.,crossed-headword,"anv-ArohaRIya | mfn. belonging to the Anvārohaṇa, or rite of cremation, ib.",
9379,apamukham,Pāṇ.,crossed-headword,"apa-muKam | ind. except the face, &c., ib.",
9707,apavīṇā,Pāṇ.,crossed-headword,"apa-vIRA | f. a bad lute, ib.",
9708,apavīṇam,Pāṇ.,crossed-headword,"apa-vIRam | ind. without a lute, ib.",
9878,apasphigam,Pāṇ.,crossed-headword,"apa-sPigam | ind. except the buttocks, ib.",
10362,apehivāṇijā,Mn.,crossed-headword,"apehi—vARijA | (scil. kriyA) f. a ceremony from which merchants are excluded, ib.",
