k1_slp1,iast,mw_gloss,dcs_example_sentence,verdict
mahizAkza,mahiṣākṣa,"m. a kind of bdellium, L.",hanti tulyamahiṣākṣamākṣikaṃ kuṣṭhamehapiṭikābhagandarān,
manohvA,manohvā,"(fr. AhvA) f. red arsenic, L. (cf. mano 'BiDA).",śirovirekadravyāṇi gandhadravyāṇi ca tīkṣṇāni manohvā haritālaṃ ceti tīkṣṇadhūmopayogīni,
masI,masī,"f. the stalk of the Nyctanthes Arbor Tristis, L.",masīvarṇamajasraṃ yo mūtramuṣṇaṃ pramehati,
masUrI,masūrī,"f. a kind of smallpox, L.",maṅgalyako masūro 'tha makuṣṭhakamayuṣṭakau,
matsyAkzI,matsyākṣī,"f. = prec. m., L.",juṅgo brāhmī tu matsyākṣī vayaḥsthā somavallarī,
maRqUra,maṇḍūra,"n. rust of iron, L.",guḍanāgaramaṇḍūratilāṃśān mānataḥ samān,
mezaSfNgI,meṣaśṛṅgī,"f. Odina Pinnata or Gymnema Sylvestre, L.",ikṣurasaguḍamadhuphāṇitajāmbavapanasānām anyatamo meṣaśṛṅgīpippalīkvāthābhiṣuto māsikaḥ ṣāṇmāsikaḥ sāṃvatsariko vā cidbhiṭorvārukekṣukāṇḍāmraphalāmalakāvasutaḥ śuddho vā śuktavargaḥ,
miSi,miśi,f. (only L.) Anethum Panmori and Anethum Sowa; Nardostachys Jatamansi (cf. mizikA); a spec,miśiḥ śatapuṣpā,
miSreyA,miśreyā,"f. Anethum Panmori or dill, L.",miśreyāpyatha sīhuṇḍo vajraḥ snukstrī snuhī guḍā,
musalI,musalī,"(I), f. Curculigo Orchioides, L.",kakkolamusalītuṇḍī kanyāpalāśacitrakam,
muRqikA,muṇḍikā,"f. a species of plant, L.",muṇḍikā kaṭutiktā syādanilāsravināśinī,
mArkava,mārkava,"m. Eclipta Prostrata, L. (w.r. mArkara).",mārkavo bhṛṅgarājaḥ syātkākamācī tu vāyasī,
naktamAla,naktamāla,"m. Pongamia Glabra, L.",cirabilvo naktamālaḥ karajaśca karañjake,
narasAra,narasāra,"m. sal ammoniac, L.",kāsīsasvarjikābhyāṃ paṭucayanarasārakṣapāpakṣiṭaṅkaiḥ,
nasA,nasā,"f. id., L.",uru nasau asu tṛpā udumbalau yamasya dūtau carataḥ janāṁ anu,
nepAlaka,nepālaka,"n. copper, L.",iti ato nepālakaṃ grāhyamityarthaḥ,
nigala,nigala,"m. n. = ni-gaqa above, L.",aśva mūtreṇa saṃsṛṣṭāḥ nigalānām tu bhañjanam,
nimbU,nimbū,"m. the common lime, Citrus Acida (v.l. nisbU), L.",nimbūrasanimbapatrarasair vā yāmamātrakam,
nizkAsana,niṣkāsana,"n. driving away, L.",granthāntare lohapātre niṣkāsanamuktam,
nizWIva,niṣṭhīva,"m. n. spitting, spitting out, L.",jambūkṛtaṃ saniṣṭhīvam abaddhaṃ syādanarthakam,
nAdeyI,nādeyī,"(I), f. N. of sev. plants (Sesbania Aegyptiaca, Premna Spinosa &c.), L.",dvau parivyādhavidulau nādeyī cāmbuvetase,
nAginI,nāginī,"f. Piper Betle, L.",nāgadantī śvetaghaṇṭā nāginī pūrvapuṣpikā,
pawolI,paṭolī,"f. a species of small cucumber, L.",pathyāmalakamṛdvīkāpaṭolīmudgaśarkarāḥ,
PaYjI,phañjī,"f. Clerodendrum Siphonantus, L.",kapitthakacchurāphañjīyūthikāvaṭaśelujaiḥ,
picumanda,picumanda,"m. the Nimb tree, Azadirachta Indica, L.",picumandaśca nimbe 'tha picchilāguruśiṃśapā,
pittarakta,pittarakta,"n. plethora, L. (cf. rakta-pitta).",medaḥśukrabalaśleṣmapittaraktāgniśophakṛt,
pittAsra,pittāsra,"n. = pitta-rakta, L.",tāmbūlaṃ kṣatapittāsrarūkṣotkupitacakṣuṣām,
putrajIva,putrajīva,"m. ‘giving life to children’, Putranjiva Roxburghii (from its seeds are made necklaces whi",sutajīvaḥ putrajīvaḥ pavitraḥ putrasiddhikṛt,
puMnapuMsaka,puṃnapuṃsaka,"n. masculine and neuter, L.",strīpuṃnapuṃsakaṃ vajraṃ yojyaṃ puṃstrīnapuṃsakaiḥ,
puMnAga,puṃnāga,"m. ‘elephant among men’, any distinguished man, L.",puṃnāge puruṣas tuṅgaḥ kesaro devavallabhaḥ,
puzpAYjana,puṣpāñjana,"n. calx of brass employed as a collyrium, L.",priyaṅgupuṣpāñjanayugmapadmāḥ padmād rajo yojanavally anantā,
pAtAlayantra,pātālayantra,"n. a sort of apparatus for distillation or for calcining and subliming metals, L.",tato bhallātakītailaṃ hṛtaṃ pātālayantrataḥ,
pIluka,pīluka,"m. N. of a tree, L. (cf. kAka-pIluka, kAla-p˚)",śārikā kapota baka balākā leṇḍam arka akṣi pīluka snuhī kṣīra piṣṭam andhīkaraṇam andhīkaraṇam añjanam udaka udaka dūṣaṇam dūṣaṇam ca ca,
pIluparRI,pīluparṇī,"f. id., L.",madhūlikā madhuśreṇī gokarṇī pīluparṇyapi,
pItadru,pītadru,"m. Pinus Longifolia or Curcuma Aromatica, L.",pītadruḥ saralaḥ pūtikāṣṭhaṃ cātha drumotpalaḥ,
pItadAru,pītadāru,"m. Pinus Deodora and Longifolia, L.",bhadradāru drukilimaṃ pītadāru ca dāru ca,
pItikA,pītikā,"f. saffron, L.",pītikā nāgavṛkṣikā,
raktacitraka,raktacitraka,"m. Plumbago Rosea, L.",guḍūcī mūṣalī puṅkhā bhṛṅgarāḍraktacitrakam,
raktaSAli,raktaśāli,"m. red rice, Oryza Sativa, L.",bhuñjāno raktaśālyannaṃ bhajet peyādikaṃ kramam,
rasavara,rasavara,"m. = -nAyaka, L.",baddhe rasavare sākṣātsparśanājjāyate ravaḥ,
rasottama,rasottama,"m. quicksilver, L.",kālīyakalatāmrāsthihemakālārasottamaiḥ,
rasAyanin,rasāyanin,"mfn. employing elixirs, L.",rasāyanināṃ rasāyanaṃ jarāvyādhividhvaṃsibheṣajaṃ vidyate yeṣāṃ yeṣu vā te rasāyaninaḥ teṣāṃ paraṃ pradhānaṃ satvamabhrasatvaṃ parikīrtitaṃ saṃkathitaṃ yathā granthāntare,
rizi,riṣi,"m. = fzi, L.",riṣerhisārthasya vicpratyayalopa udāharaṇaṃ reṭ iti,
rAjarIti,rājarīti,"f. a kind of brass or bell-metal, L.",rājarītirbrahmarītiḥ kapilā piṅgalāpi ca,
rAla,rāla,"m. the resin of Shorea Robusta, L.",yakṣadhūpaḥ sarjaraso rālasarvarasāvapi,
saktuka,saktuka,"m. (also written Sak˚) a partic. vegetable poison, L.",vatsanābhaḥ sahāridraḥ saktukaśca pradīpanaḥ,
samuKa,samukha,"mfn. ‘mouthy’, talkative, loquacious, eloquent, L.",samukho vāvadūko 'tha vado vaktā vadāvadaḥ,
sarjikzAra,sarjikṣāra,"m. id., L.",sarjikṣāraṃ yavakṣāraṃ vahṇisaindhavajīrakam,
sPawikA,sphaṭikā,"(A), f. alum (accord. to some also ˚kI), L.",gandho hiṅgulamabhratālakaśilāḥ sroto'ñjanaṃ ṭaṅkaṇaṃ rājāvartakacumbakau sphaṭikayā śaṅkhaḥ khaṭīgairikam,
srotoYjana,srotoñjana,"n. ‘stream-collyrium’, antimony (esp. as a collyrium for the eyes, said to be produced in ",ratnāni rūpyaṃ sphaṭikaṃ suvarṇaṃ sroto'ñjanaṃ tāmram ayaḥ saśaṅkhaṃ,
sTalapadminI,sthalapadminī,f. Hibiscus Mut˚ L.,nunoda tasya sthalapadminīgataṃ vitarkam āviṣkṛtaphenasaṃtati,
sAraloha,sāraloha,"n. ‘essence of iron’, steel, L.",śikhiśaśinau svarṇatārakau sāralohākhyau sāralohasaṃjñakāvityarthaḥ,
sIsaka,sīsaka,"m. n. lead, L.",sīsakaṃ nāgamuragaṃ kāṃsyaṃ kāśaṃ ca ghoṣakam,
sUkzmElA,sūkṣmailā,"f. small cardamoms, L.",piben madyena sūkṣmailāṃ dhātrīphalarasena vā,
sUkzmA,sūkṣmā,"(A), f. sand, L.",sūkṣmopakuñcikā tutthā koraṅgī tripuṭā truṭiḥ,
sUraRa,sūraṇa,"n. (also written SUr˚) Amorphophallus Campanulatus (cf. sUra-kanda), L.",guñjāsūraṇakūṣmāṇḍabījair vartis tathāguṇā,
taRqulI,taṇḍulī,"(I), f. a kind of gourd, L.",taṇḍulī kṛmihāmoghā kairalī mṛgagāminī,
tvacA,tvacā,"f. skin, L.",tvacāpidhāne subhage datparistaraṇe kave,
tApyaka,tāpyaka,"n. = ˚pI-samudBava, L.",punaḥ śulbābhrakamākṣīkaṃ punaḥ kāntābhrakamākṣīkaṃ kāntaṃ kāntapāṣāṇaṃ abhrakaṃ gaganaṃ mākṣīkaṃ tāpyaṃ tathā tāpyakaśulbābhrakaṃ etadapi ca mahābījaṃ jñeyamiti,
tArABra,tārābhra,"m. camphor, L.",miśraṃ yathā hemābhratāmrābhratārābhravaṅgābhranāgābhrakāntābhrādikam,
uqqISa,uḍḍīśa,"m. N. of Śiva, L.",śaṃbhuḥ śarvaḥ sthāṇurīśāna īśo rudroḍḍīśau vāmadevo vṛṣāṅkaḥ,
vajrakanda,vajrakanda,"m. a species of bulbous plant, L.",yavamāṣatilapalāśapīlukṣārair gokṣīrājakṣīrair vā kadalīvajrakandapratīvāpo mārdavakaraḥ,
vajravallI,vajravallī,"f. a species of sun-flower, Heliotropium Indicum, L.",śṛgālaghaṇṭā vajrākṣī vajravallī tu śṛṅkhalā,
vajrABra,vajrābhra,"n. a species of dark-coloured talc, L.",pinākaṃ darduraṃ nāgaṃ vajrābhraṃ ca caturvidham,
vajrANga,vajrāṅga,"m. (prob. for vakrANga) a snake, L.",vajrāṅgo nāma daityo'bhūttasya putrastu tārakaḥ,
vakranAla,vakranāla,"n. a sort of wind-instrument, L. (cf. -tAla).",koṣṭhikā vakranālaṃ ca gomayaṃ sāram indhanam,
vandAka,vandāka,"Vanda Roxburghii, L.",jīvantīśvetāmuṣkakapuṣpavandākābhir akṣīve jātasyāśvatthasya pratānena guptaṃ sarpā viṣāṇi vā na prabhavanti,
varAwikA,varāṭikā,"f. Mirabilis Jalapa, L.",ta eva praṇatāḥ śatrau labhante na varāṭikām,
varzaparvata,varṣaparvata,m. one of the mountainous ranges supposed to separate the Varṣas or divisions of the earth,nīlaḥ śvetaśca śṛṅgī ca uttare varṣaparvatāḥ,
vaRijya,vaṇijya,"n. trade, traffic, L.",svadharmaḥ brāhmaṇasya adhyayanam adhyāpanam yajanam yājanam dānam pratigrahaḥ ca kṣatriyasya adhyayanam yajanam dānam śastra ājīvaḥ bhūta rakṣaṇam ca vaiśyasya adhyayanam yajanam dānam kṛṣi pāśupālye vaṇijyā ca śūdrasya dvijāti śuśrūṣā vārttā kāru kuśīlava karma ca,
vetasAmla,vetasāmla,"m. Rumex Vesicarius, L.",sājājicavyaṃ sahatintiḍīkaṃ savetasāmlaṃ vinihanti cūrṇaṃ,
vizARikA,viṣāṇikā,"(ikA), f. N. of various plants (Odina Pinnata; the Senna plant; Asclepias Geminata; = kark",varuṇasairyakayugmaśatāvarīdahanamoraṭabilvaviṣāṇikāḥ,
viwKadira,viṭkhadira,"m. Vachellia Farnesiana, L.",arimedo viṭkhadire kadaraḥ khadire site,
vAjiganDA,vājigandhā,"f. the plant Physalis Flexuosa, L.",tathaiva vājigandhāyā lihyācchvāsī kapholbaṇaḥ,
vAkucI,vākucī,"f. Vernonia Anthelmintica, L.",kālameṣī kṛṣṇaphalī vākucī pūtiphalyapi,
vAstUka,vāstūka,"m. n. Chenopodium Album, L.",padmakaṃ padmakiñjalkaṃ dūrvāṃ vāstūkamutpalam,
vAtAri,vātāri,"m. ‘enemy of w˚-disease’, N. of various plants (esp. Ricinus Communis; Asparagus Racemosus",putradātrī vṛttapattrā vātāriḥ śvetapuṣpikā,
vfkzAdanI,vṛkṣādanī,"f. a parasitical plant (Vanda Roxburghii, Hedysarum Gangeticum &c.), L.",vandā vṛkṣādanī vṛkṣaruhā jīvantiketyapi,
yavaja,yavaja,"m. = -kzAra, L.",yavajaḥ svarjikā ceti kṣārāṣṭakam udāhṛtam,
yonimudrA,yonimudrā,"f. N. of a partic. position of the fingers, L.",yonimudrā parā gopyā devānām api durlabhā,
yAvaSUka,yāvaśūka,"m. (fr. yava-SUka) a kind of alkaline salt prepared from the ashes of burnt barley-straw, ",viḍaṅgasauvarcalacavyapāṭhāvyoṣāgnisindhūdbhavayāvaśūkaiḥ,
AKukarRI,ākhukarṇī,"f. id., L.",ākhukarṇīkisalayaiḥ supiṣṭaiḥ piṣṭamiśritaiḥ,
AranAlaka,āranālaka,"n. id., L.",āranālakasauvīrakulmāṣābhiṣutāni ca,
AvartakI,āvartakī,"f. N. of a creeping plant, L.",āvartakītulāṃ droṇe paced aṣṭāṃśaśeṣitam,
AvAri,āvāri,"f. a shop, stall, L.",atraiva tiṣṭha āvāryāṃ vyāpāraṃ kuru,
AwarUza,āṭarūṣa,"m. = aw˚, q.v., L.",lākṣādantīmadhurasavarādvīpipāṭhāviḍaṅgapratyakpuṣpītrikaṭurajanīsaptaparṇāṭarūṣam,
ISAnI,īśānī,"f. the silk-cotton tree, Bombax Heptaphyllum, L.",māyā nārāyaṇīśānī śāradetyambiketi ca,
SilAhva,śilāhva,"(˚lAh˚), n. ‘st˚-named’, bitumen, L.",prayojayecchilāhvaṃ vā brāhmaṃ vātra rasāyanam,
Sirovasti,śirovasti,"m. or f. (?) pouring oil or other liquids on the head, L.",hṛtsthe payaḥ sthirāsiddhaṃ śirovastiḥ śirogate,
SramaRA,śramaṇā,"(A), f. a handsome woman, L.",kumāraḥ śramaṇādibhiḥ,
SrIvezwa,śrīveṣṭa,"m. the resin of the Pinus Longifolia, L.",śrīvāso vṛkadhūpo 'pi śrīveṣṭasaraladravau,
SvetArka,śvetārka,"m. Calotropis Gigantea Alba, L.",śvetārkaśigrudhattūramṛgadūrvāharītakī,
SAlaparRI,śālaparṇī,"f. Desmodium or Hedysarum Gangeticum, L.",vidārigandhāṃśumatī śālaparṇī sthirā dhruvā,
SAlAvfka,śālāvṛka,"m. ‘h˚-wolf’, a dog, cat, jackal &c., L. (cf. sAlAvfka/).",yatra indram devatāḥ paryavṛñjan viśvarūpam tvāṣṭram abhyamaṃsta vṛtram astṛta yatīn sālāvṛkebhyaḥ prādāt arurmaghān avadhīt bṛhaspateḥ pratyavadhīt iti tatra indraḥ soma pīthena vyārdhyata,
SArNgezwA,śārṅgeṣṭā,"v.l. for prec., L.",saindhavavyoṣaśārṅgeṣṭāpāṭhāgirikadambakān,
SUrpaparRI,śūrpaparṇī,"f. a sort of bean, Phaseolus Trilobus, L.",balāpunarnavairaṇḍaśūrpaparṇīdvayena tu,
